Corpo_celeste,Altitudine,Microrganismo,Abitabile
Terra,14,Deinococcus aerius,False
Terra,14,Bacillus stratosphericus,False
Terra,14,Methanobrevibacter arboriphilus,False
Terra,14,Aerococcus viridans,False
Terra,14,Micrococcus luteus,False
Terra,14,Paracoccus yeei,False
Terra,14,Rhodococcus erythropolis,False
Terra,14,Pseudomonas aeruginosa,False
Terra,14,Acinetobacter radioresistens,False
Terra,14,Bacillus pumilus,False
Terra,15,Deinococcus aerius,False
Terra,15,Bacillus stratosphericus,False
Terra,15,Methanobrevibacter arboriphilus,False
Terra,15,Aerococcus viridans,False
Terra,15,Micrococcus luteus,False
Terra,15,Paracoccus yeei,False
Terra,15,Rhodococcus erythropolis,False
Terra,15,Pseudomonas aeruginosa,False
Terra,15,Acinetobacter radioresistens,False
Terra,15,Bacillus pumilus,False
Terra,16,Deinococcus aerius,False
Terra,16,Bacillus stratosphericus,False
Terra,16,Methanobrevibacter arboriphilus,False
Terra,16,Aerococcus viridans,False
Terra,16,Micrococcus luteus,False
Terra,16,Paracoccus yeei,False
Terra,16,Rhodococcus erythropolis,False
Terra,16,Pseudomonas aeruginosa,False
Terra,16,Acinetobacter radioresistens,False
Terra,16,Bacillus pumilus,False
Terra,17,Deinococcus aerius,False
Terra,17,Bacillus stratosphericus,False
Terra,17,Methanobrevibacter arboriphilus,False
Terra,17,Aerococcus viridans,False
Terra,17,Micrococcus luteus,False
Terra,17,Paracoccus yeei,False
Terra,17,Rhodococcus erythropolis,False
Terra,17,Pseudomonas aeruginosa,False
Terra,17,Acinetobacter radioresistens,False
Terra,17,Bacillus pumilus,False
Terra,18,Deinococcus aerius,False
Terra,18,Bacillus stratosphericus,False
Terra,18,Methanobrevibacter arboriphilus,False
Terra,18,Aerococcus viridans,False
Terra,18,Micrococcus luteus,False
Terra,18,Paracoccus yeei,False
Terra,18,Rhodococcus erythropolis,False
Terra,18,Pseudomonas aeruginosa,False
Terra,18,Acinetobacter radioresistens,False
Terra,18,Bacillus pumilus,False
Terra,19,Deinococcus aerius,False
Terra,19,Bacillus stratosphericus,False
Terra,19,Methanobrevibacter arboriphilus,False
Terra,19,Aerococcus viridans,False
Terra,19,Micrococcus luteus,False
Terra,19,Paracoccus yeei,False
Terra,19,Rhodococcus erythropolis,False
Terra,19,Pseudomonas aeruginosa,False
Terra,19,Acinetobacter radioresistens,False
Terra,19,Bacillus pumilus,False
Terra,20,Deinococcus aerius,False
Terra,20,Bacillus stratosphericus,False
Terra,20,Methanobrevibacter arboriphilus,False
Terra,20,Aerococcus viridans,False
Terra,20,Micrococcus luteus,False
Terra,20,Paracoccus yeei,False
Terra,20,Rhodococcus erythropolis,False
Terra,20,Pseudomonas aeruginosa,False
Terra,20,Acinetobacter radioresistens,False
Terra,20,Bacillus pumilus,False
Terra,25,Deinococcus aerius,False
Terra,25,Bacillus stratosphericus,False
Terra,25,Methanobrevibacter arboriphilus,False
Terra,25,Aerococcus viridans,False
Terra,25,Micrococcus luteus,False
Terra,25,Paracoccus yeei,False
Terra,25,Rhodococcus erythropolis,False
Terra,25,Pseudomonas aeruginosa,False
Terra,25,Acinetobacter radioresistens,False
Terra,25,Bacillus pumilus,False
Terra,30,Deinococcus aerius,False
Terra,30,Bacillus stratosphericus,False
Terra,30,Methanobrevibacter arboriphilus,False
Terra,30,Aerococcus viridans,False
Terra,30,Micrococcus luteus,False
Terra,30,Paracoccus yeei,False
Terra,30,Rhodococcus erythropolis,False
Terra,30,Pseudomonas aeruginosa,False
Terra,30,Acinetobacter radioresistens,False
Terra,30,Bacillus pumilus,False
Terra,35,Deinococcus aerius,False
Terra,35,Bacillus stratosphericus,False
Terra,35,Methanobrevibacter arboriphilus,False
Terra,35,Aerococcus viridans,False
Terra,35,Micrococcus luteus,False
Terra,35,Paracoccus yeei,False
Terra,35,Rhodococcus erythropolis,False
Terra,35,Pseudomonas aeruginosa,False
Terra,35,Acinetobacter radioresistens,False
Terra,35,Bacillus pumilus,False
Terra,40,Deinococcus aerius,False
Terra,40,Bacillus stratosphericus,False
Terra,40,Methanobrevibacter arboriphilus,False
Terra,40,Aerococcus viridans,False
Terra,40,Micrococcus luteus,False
Terra,40,Paracoccus yeei,False
Terra,40,Rhodococcus erythropolis,False
Terra,40,Pseudomonas aeruginosa,False
Terra,40,Acinetobacter radioresistens,False
Terra,40,Bacillus pumilus,False
Terra,45,Deinococcus aerius,False
Terra,45,Bacillus stratosphericus,False
Terra,45,Methanobrevibacter arboriphilus,False
Terra,45,Aerococcus viridans,False
Terra,45,Micrococcus luteus,False
Terra,45,Paracoccus yeei,False
Terra,45,Rhodococcus erythropolis,False
Terra,45,Pseudomonas aeruginosa,False
Terra,45,Acinetobacter radioresistens,False
Terra,45,Bacillus pumilus,False
Terra,50,Deinococcus aerius,False
Terra,50,Bacillus stratosphericus,False
Terra,50,Methanobrevibacter arboriphilus,False
Terra,50,Aerococcus viridans,False
Terra,50,Micrococcus luteus,False
Terra,50,Paracoccus yeei,False
Terra,50,Rhodococcus erythropolis,False
Terra,50,Pseudomonas aeruginosa,False
Terra,50,Acinetobacter radioresistens,False
Terra,50,Bacillus pumilus,False
Terra,55,Deinococcus aerius,False
Terra,55,Bacillus stratosphericus,False
Terra,55,Methanobrevibacter arboriphilus,False
Terra,55,Aerococcus viridans,False
Terra,55,Micrococcus luteus,False
Terra,55,Paracoccus yeei,False
Terra,55,Rhodococcus erythropolis,False
Terra,55,Pseudomonas aeruginosa,False
Terra,55,Acinetobacter radioresistens,False
Terra,55,Bacillus pumilus,False
Terra,60,Deinococcus aerius,False
Terra,60,Bacillus stratosphericus,False
Terra,60,Methanobrevibacter arboriphilus,False
Terra,60,Aerococcus viridans,False
Terra,60,Micrococcus luteus,False
Terra,60,Paracoccus yeei,False
Terra,60,Rhodococcus erythropolis,False
Terra,60,Pseudomonas aeruginosa,False
Terra,60,Acinetobacter radioresistens,False
Terra,60,Bacillus pumilus,False
Terra,65,Deinococcus aerius,False
Terra,65,Bacillus stratosphericus,False
Terra,65,Methanobrevibacter arboriphilus,False
Terra,65,Aerococcus viridans,False
Terra,65,Micrococcus luteus,False
Terra,65,Paracoccus yeei,False
Terra,65,Rhodococcus erythropolis,False
Terra,65,Pseudomonas aeruginosa,False
Terra,65,Acinetobacter radioresistens,False
Terra,65,Bacillus pumilus,False
Terra,70,Deinococcus aerius,False
Terra,70,Bacillus stratosphericus,False
Terra,70,Methanobrevibacter arboriphilus,False
Terra,70,Aerococcus viridans,False
Terra,70,Micrococcus luteus,False
Terra,70,Paracoccus yeei,False
Terra,70,Rhodococcus erythropolis,False
Terra,70,Pseudomonas aeruginosa,False
Terra,70,Acinetobacter radioresistens,False
Terra,70,Bacillus pumilus,False
Terra,75,Deinococcus aerius,False
Terra,75,Bacillus stratosphericus,False
Terra,75,Methanobrevibacter arboriphilus,False
Terra,75,Aerococcus viridans,False
Terra,75,Micrococcus luteus,False
Terra,75,Paracoccus yeei,False
Terra,75,Rhodococcus erythropolis,False
Terra,75,Pseudomonas aeruginosa,False
Terra,75,Acinetobacter radioresistens,False
Terra,75,Bacillus pumilus,False
Terra,80,Deinococcus aerius,False
Terra,80,Bacillus stratosphericus,False
Terra,80,Methanobrevibacter arboriphilus,False
Terra,80,Aerococcus viridans,False
Terra,80,Micrococcus luteus,False
Terra,80,Paracoccus yeei,False
Terra,80,Rhodococcus erythropolis,False
Terra,80,Pseudomonas aeruginosa,False
Terra,80,Acinetobacter radioresistens,False
Terra,80,Bacillus pumilus,False
Terra,85,Deinococcus aerius,False
Terra,85,Bacillus stratosphericus,False
Terra,85,Methanobrevibacter arboriphilus,False
Terra,85,Aerococcus viridans,False
Terra,85,Micrococcus luteus,False
Terra,85,Paracoccus yeei,False
Terra,85,Rhodococcus erythropolis,False
Terra,85,Pseudomonas aeruginosa,False
Terra,85,Acinetobacter radioresistens,False
Terra,85,Bacillus pumilus,False
Terra,90,Deinococcus aerius,False
Terra,90,Bacillus stratosphericus,False
Terra,90,Methanobrevibacter arboriphilus,False
Terra,90,Aerococcus viridans,False
Terra,90,Micrococcus luteus,False
Terra,90,Paracoccus yeei,False
Terra,90,Rhodococcus erythropolis,False
Terra,90,Pseudomonas aeruginosa,False
Terra,90,Acinetobacter radioresistens,False
Terra,90,Bacillus pumilus,False
Terra,95,Deinococcus aerius,False
Terra,95,Bacillus stratosphericus,False
Terra,95,Methanobrevibacter arboriphilus,False
Terra,95,Aerococcus viridans,False
Terra,95,Micrococcus luteus,False
Terra,95,Paracoccus yeei,False
Terra,95,Rhodococcus erythropolis,False
Terra,95,Pseudomonas aeruginosa,False
Terra,95,Acinetobacter radioresistens,False
Terra,95,Bacillus pumilus,False
Terra,100,Deinococcus aerius,False
Terra,100,Bacillus stratosphericus,False
Terra,100,Methanobrevibacter arboriphilus,False
Terra,100,Aerococcus viridans,False
Terra,100,Micrococcus luteus,False
Terra,100,Paracoccus yeei,False
Terra,100,Rhodococcus erythropolis,False
Terra,100,Pseudomonas aeruginosa,False
Terra,100,Acinetobacter radioresistens,False
Terra,100,Bacillus pumilus,False
Terra,105,Deinococcus aerius,False
Terra,105,Bacillus stratosphericus,False
Terra,105,Methanobrevibacter arboriphilus,False
Terra,105,Aerococcus viridans,False
Terra,105,Micrococcus luteus,False
Terra,105,Paracoccus yeei,False
Terra,105,Rhodococcus erythropolis,False
Terra,105,Pseudomonas aeruginosa,False
Terra,105,Acinetobacter radioresistens,False
Terra,105,Bacillus pumilus,False
Terra,110,Deinococcus aerius,False
Terra,110,Bacillus stratosphericus,False
Terra,110,Methanobrevibacter arboriphilus,False
Terra,110,Aerococcus viridans,False
Terra,110,Micrococcus luteus,False
Terra,110,Paracoccus yeei,False
Terra,110,Rhodococcus erythropolis,False
Terra,110,Pseudomonas aeruginosa,False
Terra,110,Acinetobacter radioresistens,False
Terra,110,Bacillus pumilus,False
Terra,115,Deinococcus aerius,False
Terra,115,Bacillus stratosphericus,False
Terra,115,Methanobrevibacter arboriphilus,False
Terra,115,Aerococcus viridans,False
Terra,115,Micrococcus luteus,False
Terra,115,Paracoccus yeei,False
Terra,115,Rhodococcus erythropolis,False
Terra,115,Pseudomonas aeruginosa,False
Terra,115,Acinetobacter radioresistens,False
Terra,115,Bacillus pumilus,False
Terra,120,Deinococcus aerius,False
Terra,120,Bacillus stratosphericus,False
Terra,120,Methanobrevibacter arboriphilus,False
Terra,120,Aerococcus viridans,False
Terra,120,Micrococcus luteus,False
Terra,120,Paracoccus yeei,False
Terra,120,Rhodococcus erythropolis,False
Terra,120,Pseudomonas aeruginosa,False
Terra,120,Acinetobacter radioresistens,False
Terra,120,Bacillus pumilus,False
Terra,125,Deinococcus aerius,False
Terra,125,Bacillus stratosphericus,False
Terra,125,Methanobrevibacter arboriphilus,False
Terra,125,Aerococcus viridans,False
Terra,125,Micrococcus luteus,False
Terra,125,Paracoccus yeei,False
Terra,125,Rhodococcus erythropolis,False
Terra,125,Pseudomonas aeruginosa,False
Terra,125,Acinetobacter radioresistens,False
Terra,125,Bacillus pumilus,False
Terra,130,Deinococcus aerius,False
Terra,130,Bacillus stratosphericus,False
Terra,130,Methanobrevibacter arboriphilus,False
Terra,130,Aerococcus viridans,False
Terra,130,Micrococcus luteus,False
Terra,130,Paracoccus yeei,False
Terra,130,Rhodococcus erythropolis,False
Terra,130,Pseudomonas aeruginosa,False
Terra,130,Acinetobacter radioresistens,False
Terra,130,Bacillus pumilus,False
Terra,135,Deinococcus aerius,False
Terra,135,Bacillus stratosphericus,False
Terra,135,Methanobrevibacter arboriphilus,False
Terra,135,Aerococcus viridans,False
Terra,135,Micrococcus luteus,False
Terra,135,Paracoccus yeei,False
Terra,135,Rhodococcus erythropolis,False
Terra,135,Pseudomonas aeruginosa,False
Terra,135,Acinetobacter radioresistens,False
Terra,135,Bacillus pumilus,False
Terra,140,Deinococcus aerius,False
Terra,140,Bacillus stratosphericus,False
Terra,140,Methanobrevibacter arboriphilus,False
Terra,140,Aerococcus viridans,False
Terra,140,Micrococcus luteus,False
Terra,140,Paracoccus yeei,False
Terra,140,Rhodococcus erythropolis,False
Terra,140,Pseudomonas aeruginosa,False
Terra,140,Acinetobacter radioresistens,False
Terra,140,Bacillus pumilus,False
Terra,145,Deinococcus aerius,False
Terra,145,Bacillus stratosphericus,False
Terra,145,Methanobrevibacter arboriphilus,False
Terra,145,Aerococcus viridans,False
Terra,145,Micrococcus luteus,False
Terra,145,Paracoccus yeei,False
Terra,145,Rhodococcus erythropolis,False
Terra,145,Pseudomonas aeruginosa,False
Terra,145,Acinetobacter radioresistens,False
Terra,145,Bacillus pumilus,False
Terra,150,Deinococcus aerius,False
Terra,150,Bacillus stratosphericus,False
Terra,150,Methanobrevibacter arboriphilus,False
Terra,150,Aerococcus viridans,False
Terra,150,Micrococcus luteus,False
Terra,150,Paracoccus yeei,False
Terra,150,Rhodococcus erythropolis,False
Terra,150,Pseudomonas aeruginosa,False
Terra,150,Acinetobacter radioresistens,False
Terra,150,Bacillus pumilus,False
Terra,155,Deinococcus aerius,False
Terra,155,Bacillus stratosphericus,False
Terra,155,Methanobrevibacter arboriphilus,False
Terra,155,Aerococcus viridans,False
Terra,155,Micrococcus luteus,False
Terra,155,Paracoccus yeei,False
Terra,155,Rhodococcus erythropolis,False
Terra,155,Pseudomonas aeruginosa,False
Terra,155,Acinetobacter radioresistens,False
Terra,155,Bacillus pumilus,False
Terra,160,Deinococcus aerius,False
Terra,160,Bacillus stratosphericus,False
Terra,160,Methanobrevibacter arboriphilus,False
Terra,160,Aerococcus viridans,False
Terra,160,Micrococcus luteus,False
Terra,160,Paracoccus yeei,False
Terra,160,Rhodococcus erythropolis,False
Terra,160,Pseudomonas aeruginosa,False
Terra,160,Acinetobacter radioresistens,False
Terra,160,Bacillus pumilus,False
Terra,165,Deinococcus aerius,False
Terra,165,Bacillus stratosphericus,False
Terra,165,Methanobrevibacter arboriphilus,False
Terra,165,Aerococcus viridans,False
Terra,165,Micrococcus luteus,False
Terra,165,Paracoccus yeei,False
Terra,165,Rhodococcus erythropolis,False
Terra,165,Pseudomonas aeruginosa,False
Terra,165,Acinetobacter radioresistens,False
Terra,165,Bacillus pumilus,False
Marte,0,Deinococcus aerius,False
Marte,0,Bacillus stratosphericus,False
Marte,0,Methanobrevibacter arboriphilus,False
Marte,0,Aerococcus viridans,False
Marte,0,Micrococcus luteus,False
Marte,0,Paracoccus yeei,False
Marte,0,Rhodococcus erythropolis,False
Marte,0,Pseudomonas aeruginosa,False
Marte,0,Acinetobacter radioresistens,False
Marte,0,Bacillus pumilus,False
Marte,10,Deinococcus aerius,False
Marte,10,Bacillus stratosphericus,False
Marte,10,Methanobrevibacter arboriphilus,False
Marte,10,Aerococcus viridans,False
Marte,10,Micrococcus luteus,False
Marte,10,Paracoccus yeei,False
Marte,10,Rhodococcus erythropolis,False
Marte,10,Pseudomonas aeruginosa,False
Marte,10,Acinetobacter radioresistens,False
Marte,10,Bacillus pumilus,False
Venere,0,Deinococcus aerius,False
